NUMBER, DRIVER_NUMBER, LAP_NUMBER,LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,DRIVER_NAME,PIT_TIME,GROUP,TEAM,POWER,LOCATION,EVENT,S1 minutes,S1 seconds,S2 minutes,S2 seconds,S3 minutes,S3 seconds,ELAPSED minutes,ELAPSED seconds,minutes,seconds,S1 Large minutes,S1 Large seconds,S2 Large minutes,S2 Large seconds,S3 Large minutes,S3 Large seconds,PIT_TIME Large minutes,PIT_TIME Large seconds
28,1,6,113,0,B,00:26.389,0,00:34.373,0,00:49.944,0,109.9,13:06.2,13:06.2,00:26.4,00:34.4,00:49.9,MNT,00:00.00,0.0,BMWl,245.27729934550464,Location 2,Free Practice 1,0,26.389,0,34.373,0,49.944,13,6.2,13,6.2,0,26.4,0,34.4,0,49.9,0,0.0
28,1,7,105,0,Not Available,07:56.0,0,00:35.542,0,00:44.183,0,21.9,22:21.9,22:21.9,07:56.0,00:35.5,00:44.2,MNT,07:27.9,0.0,BMWl,245.27729934550464,Location 2,Free Practice 1,7,56.0,0,35.542,0,44.183,22,21.9,22,21.9,7,56.0,0,35.5,0,44.2,7,27.9
28,1,8,117,0,Not Available,00:26.692,0,00:34.2,0,00:43.113,0,117.0,24:05.9,24:05.9,00:26.7,00:34.2,00:43.1,MNT,00:00.00,0.0,BMWl,245.27729934550464,Location 2,Free Practice 1,0,26.692,0,34.2,0,43.113,24,5.9,24,5.9,0,26.7,0,34.2,0,43.1,0,0.0
28,1,9,129,0,Not Available,00:26.354,0,00:40.504,0,00:56.856,0,98.4,26:09.6,26:09.6,00:26.4,00:40.5,00:56.9,MNT,00:00.00,0.0,BMWl,245.27729934550464,Location 2,Free Practice 1,0,26.354,0,40.504,0,56.856,26,9.6,26,9.6,0,26.4,0,40.5,0,56.9,0,0.0
28,1,10,71,0,B,00:25.963,0,00:33.705,0,00:46.481,0,114.6,27:55.8,27:55.8,00:26.0,00:33.7,00:46.5,MNT,00:00.00,0.0,BMWl,245.27729934550464,Location 2,Free Practice 1,0,25.963,0,33.705,0,46.481,27,55.8,27,55.8,0,26.0,0,33.7,0,46.5,0,0.0
28,1,11,83,0,B,06:57.7,0,00:49.231,0,01:28.9,0,21.9,37:11.6,37:11.6,06:57.7,00:49.2,01:28.9,MNT,06:28.6,0.0,BMWl,245.27729934550464,Location 2,Free Practice 1,6,57.7,0,49.231,1,28.9,37,11.6,37,11.6,6,57.7,0,49.2,1,28.9,6,28.6
28,1,12,70,0,Not Available,02:46.2,0,00:38.756,0,00:51.102,0,47.5,41:27.6,41:27.6,02:46.2,00:38.8,00:51.1,MNT,02:18.7,0.0,BMWl,235.0,Location 2,Free Practice 1,2,46.2,0,38.756,0,51.102,41,27.6,41,27.6,2,46.2,0,38.8,0,51.1,2,18.7
28,1,13,83,2,Not Available,00:25.27,0,00:32.956,2,00:41.714,2,121.8,43:07.6,43:07.6,00:25.3,00:33.0,00:41.7,MNT,00:00.00,0.0,BMWl,250.0,Location 2,Free Practice 1,0,25.27,0,32.956,0,41.714,43,7.6,43,7.6,0,25.3,0,33.0,0,41.7,0,0.0
28,1,14,96,0,Not Available,00:26.809,0,00:36.823,0,00:43.058,0,114.1,44:54.3,44:54.3,00:26.8,00:36.8,00:43.1,MNT,00:00.00,0.0,BMWl,250.0,Location 2,Free Practice 1,0,26.809,0,36.823,0,43.058,44,54.3,44,54.3,0,26.8,0,36.8,0,43.1,0,0.0
28,1,15,88,0,Not Available,00:25.15,2,00:37.491,0,00:42.104,0,116.2,46:39.0,46:39.0,00:25.1,00:37.5,00:42.1,MNT,00:00.00,0.0,BMWl,250.0,Location 2,Free Practice 1,0,25.15,0,37.491,0,42.104,46,39.0,46,39.0,0,25.1,0,37.5,0,42.1,0,0.0
29,1,1,72,0,Not Available,01:10.2,0,00:40.01,0,00:53.23,0,74.4,02:43.4,02:43.4,01:10.2,00:40.0,00:53.2,AS,00:36.4,0.0,MAHINDRAd,245.27729934550464,Location 2,Free Practice 1,1,10.2,0,40.01,0,53.23,2,43.4,2,43.4,1,10.2,0,40.0,0,53.2,0,36.4
29,1,2,119,0,Not Available,00:26.968,0,00:34.797,0,00:55.134,0,104.1,04:40.3,04:40.3,00:27.0,00:34.8,00:55.1,AS,00:00.00,0.0,MAHINDRAd,245.27729934550464,Location 2,Free Practice 1,0,26.968,0,34.797,0,55.134,4,40.3,4,40.3,0,27.0,0,34.8,0,55.1,0,0.0
29,1,3,89,0,Not Available,00:49.164,0,00:34.723,0,00:48.413,0,92.0,06:52.6,06:52.6,00:49.2,00:34.7,00:48.4,AS,00:00.00,0.0,MAHINDRAd,245.27729934550464,Location 2,Free Practice 1,0,49.164,0,34.723,0,48.413,6,52.6,6,52.6,0,49.2,0,34.7,0,48.4,0,0.0
29,1,4,84,0,Not Available,00:27.107,0,00:34.853,0,00:43.99,0,114.8,08:38.6,08:38.6,00:27.1,00:34.9,00:44.0,AS,00:00.00,0.0,MAHINDRAd,245.27729934550464,Location 2,Free Practice 1,0,27.107,0,34.853,0,43.99,8,38.6,8,38.6,0,27.1,0,34.9,0,44.0,0,0.0
29,1,5,91,0,Not Available,00:26.707,0,00:34.59,0,00:43.995,0,115.6,10:23.9,10:23.9,00:26.7,00:34.6,00:44.0,AS,00:00.00,0.0,MAHINDRAd,245.27729934550464,Location 2,Free Practice 1,0,26.707,0,34.59,0,43.995,10,23.9,10,23.9,0,26.7,0,34.6,0,44.0,0,0.0
29,1,6,96,0,Not Available,00:26.569,0,00:34.585,0,00:43.632,0,116.1,12:08.7,12:08.7,00:26.6,00:34.6,00:43.6,AS,00:00.00,0.0,MAHINDRAd,245.27729934550464,Location 2,Free Practice 1,0,26.569,0,34.585,0,43.632,12,8.7,12,8.7,0,26.6,0,34.6,0,43.6,0,0.0
29,1,7,104,0,Not Available,00:26.885,0,00:35.215,0,00:48.815,0,109.7,13:59.6,13:59.6,00:26.9,00:35.2,00:48.8,AS,00:00.00,0.0,MAHINDRAd,245.27729934550464,Location 2,Free Practice 1,0,26.885,0,35.215,0,48.815,13,59.6,13,59.6,0,26.9,0,35.2,0,48.8,0,0.0
29,1,8,103,0,Not Available,00:26.571,0,00:34.349,0,00:53.38,0,106.5,15:53.9,15:53.9,00:26.6,00:34.3,00:53.4,AS,00:00.00,0.0,MAHINDRAd,245.27729934550464,Location 2,Free Practice 1,0,26.571,0,34.349,0,53.38,15,53.9,15,53.9,0,26.6,0,34.3,0,53.4,0,0.0
29,1,9,70,0,Not Available,00:26.235,0,00:34.037,0,00:43.209,0,117.6,17:37.4,17:37.4,00:26.2,00:34.0,00:43.2,AS,00:00.00,0.0,MAHINDRAd,245.27729934550464,Location 2,Free Practice 1,0,26.235,0,34.037,0,43.209,17,37.4,17,37.4,0,26.2,0,34.0,0,43.2,0,0.0
29,1,10,91,0,B,00:26.286,0,00:34.019,0,00:49.544,0,110.8,19:27.2,19:27.2,00:26.3,00:34.0,00:49.5,AS,00:00.00,0.0,MAHINDRAd,245.27729934550464,Location 2,Free Practice 1,0,26.286,0,34.019,0,49.544,19,27.2,19,27.2,0,26.3,0,34.0,0,49.5,0,0.0
29,1,11,84,0,Not Available,07:15.0,0,00:37.826,0,00:53.778,0,23.1,28:13.8,28:13.8,07:15.0,00:37.8,00:53.8,AS,06:40.7,0.0,MAHINDRAd,245.27729934550464,Location 2,Free Practice 1,7,15.0,0,37.826,0,53.778,28,13.8,28,13.8,7,15.0,0,37.8,0,53.8,6,40.7
29,1,12,85,0,Not Available,00:26.023,0,00:33.907,0,00:45.38,0,115.5,29:59.2,29:59.2,00:26.0,00:33.9,00:45.4,AS,00:00.00,0.0,MAHINDRAd,245.27729934550464,Location 2,Free Practice 1,0,26.023,0,33.907,0,45.38,29,59.2,29,59.2,0,26.0,0,33.9,0,45.4,0,0.0
29,1,13,114,0,Not Available,00:25.864,0,00:33.724,0,00:42.444,2,119.3,31:41.2,31:41.2,00:25.9,00:33.7,00:42.4,AS,00:00.00,0.0,MAHINDRAd,245.27729934550464,Location 2,Free Practice 1,0,25.864,0,33.724,0,42.444,31,41.2,31,41.2,0,25.9,0,33.7,0,42.4,0,0.0
29,1,14,133,0,Not Available,00:34.649,0,00:44.742,0,00:55.224,0,90.4,33:55.8,33:55.8,00:34.6,00:44.7,00:55.2,AS,00:00.00,0.0,MAHINDRAd,235.0,Location 2,Free Practice 1,0,34.649,0,44.742,0,55.224,33,55.8,33,55.8,0,34.6,0,44.7,0,55.2,0,0.0
29,1,15,93,0,B,00:25.511,0,00:32.865,0,01:11.1,0,94.0,36:05.3,36:05.3,00:25.5,00:32.9,01:11.1,AS,00:00.00,0.0,MAHINDRAd,235.0,Location 2,Free Practice 1,0,25.511,0,32.865,1,11.1,36,5.3,36,5.3,0,25.5,0,32.9,1,11.1,0,0.0
29,1,16,124,0,Not Available,05:15.9,0,00:36.282,0,00:47.423,0,30.5,42:44.8,42:44.8,05:15.9,00:36.3,00:47.4,AS,04:45.6,0.0,MAHINDRAd,250.0,Location 2,Free Practice 1,5,15.9,0,36.282,0,47.423,42,44.8,42,44.8,5,15.9,0,36.3,0,47.4,4,45.6
29,1,17,69,2,Not Available,00:25.207,2,00:32.809,2,00:42.683,0,120.8,44:25.5,44:25.5,00:25.2,00:32.8,00:42.7,AS,00:00.00,0.0,MAHINDRAd,250.0,Location 2,Free Practice 1,0,25.207,0,32.809,0,42.683,44,25.5,44,25.5,0,25.2,0,32.8,0,42.7,0,0.0
29,1,18,100,0,Not Available,00:25.492,0,00:34.302,0,00:42.887,0,118.5,46:08.2,46:08.2,00:25.5,00:34.3,00:42.9,AS,00:00.00,0.0,MAHINDRAd,250.0,Location 2,Free Practice 1,0,25.492,0,34.302,0,42.887,46,8.2,46,8.2,0,25.5,0,34.3,0,42.9,0,0.0
33,1,1,71,0,Not Available,01:03.8,0,00:41.311,0,00:53.49,0,76.7,02:38.6,02:38.6,01:03.8,00:41.3,00:53.5,RR,00:29.3,0.0,AR,245.27729934550464,Location 2,Free Practice 1,1,3.8,0,41.311,0,53.49,2,38.6,2,38.6,1,3.8,0,41.3,0,53.5,0,29.3
33,1,2,89,0,Not Available,00:27.166,0,00:35.763,0,00:51.461,0,106.4,04:33.0,04:33.0,00:27.2,00:35.8,00:51.5,RR,00:00.00,0.0,AR,245.27729934550464,Location 2,Free Practice 1,0,27.166,0,35.763,0,51.461,4,33.0,4,33.0,0,27.2,0,35.8,0,51.5,0,0.0
33,1,3,72,0,Not Available,00:53.374,0,00:36.158,0,00:48.307,0,88.3,06:50.9,06:50.9,00:53.4,00:36.2,00:48.3,RR,00:00.00,0.0,AR,245.27729934550464,Location 2,Free Practice 1,0,53.374,0,36.158,0,48.307,6,50.9,6,50.9,0,53.4,0,36.2,0,48.3,0,0.0
33,1,4,92,0,Not Available,00:27.024,0,00:34.478,0,00:43.677,0,115.7,08:36.1,08:36.1,00:27.0,00:34.5,00:43.7,RR,00:00.00,0.0,AR,245.27729934550464,Location 2,Free Practice 1,0,27.024,0,34.478,0,43.677,8,36.1,8,36.1,0,27.0,0,34.5,0,43.7,0,0.0
33,1,5,123,0,Not Available,00:26.663,0,00:34.74,0,00:43.959,0,115.5,10:21.4,10:21.4,00:26.7,00:34.7,00:44.0,RR,00:00.00,0.0,AR,245.27729934550464,Location 2,Free Practice 1,0,26.663,0,34.74,0,43.959,10,21.4,10,21.4,0,26.7,0,34.7,0,44.0,0,0.0
33,1,6,75,0,Not Available,00:26.866,0,00:34.49,0,00:43.779,0,115.7,12:06.6,12:06.6,00:26.9,00:34.5,00:43.8,RR,00:00.00,0.0,AR,245.27729934550464,Location 2,Free Practice 1,0,26.866,0,34.49,0,43.779,12,6.6,12,6.6,0,26.9,0,34.5,0,43.8,0,0.0
33,1,7,126,0,Not Available,00:27.233,0,00:34.62,0,00:45.565,0,113.3,13:54.0,13:54.0,00:27.2,00:34.6,00:45.6,RR,00:00.00,0.0,AR,245.27729934550464,Location 2,Free Practice 1,0,27.233,0,34.62,0,45.565,13,54.0,13,54.0,0,27.2,0,34.6,0,45.6,0,0.0
33,1,8,92,0,Not Available,00:26.992,0,00:34.465,0,00:49.227,0,109.9,15:44.7,15:44.7,00:27.0,00:34.5,00:49.2,RR,00:00.00,0.0,AR,245.27729934550464,Location 2,Free Practice 1,0,26.992,0,34.465,0,49.227,15,44.7,15,44.7,0,27.0,0,34.5,0,49.2,0,0.0
33,1,9,72,0,B,00:26.242,0,00:33.963,0,00:47.743,0,112.7,17:32.6,17:32.6,00:26.2,00:34.0,00:47.7,RR,00:00.00,0.0,AR,245.27729934550464,Location 2,Free Practice 1,0,26.242,0,33.963,0,47.743,17,32.6,17,32.6,0,26.2,0,34.0,0,47.7,0,0.0
33,1,10,113,0,Not Available,05:58.6,0,00:38.992,0,00:45.365,0,27.5,24:55.5,24:55.5,05:58.6,00:39.0,00:45.4,RR,05:29.6,0.0,AR,245.27729934550464,Location 2,Free Practice 1,5,58.6,0,38.992,0,45.365,24,55.5,24,55.5,5,58.6,0,39.0,0,45.4,5,29.6
33,1,11,117,0,Not Available,00:26.539,0,00:33.368,0,00:42.394,2,118.9,26:37.8,26:37.8,00:26.5,00:33.4,00:42.4,RR,00:00.00,0.0,AR,245.27729934550464,Location 2,Free Practice 1,0,26.539,0,33.368,0,42.394,26,37.8,26,37.8,0,26.5,0,33.4,0,42.4,0,0.0
33,1,12,109,0,Not Available,00:26.47,0,00:33.467,0,00:42.463,0,118.8,28:20.2,28:20.2,00:26.5,00:33.5,00:42.5,RR,00:00.00,0.0,AR,245.27729934550464,Location 2,Free Practice 1,0,26.47,0,33.467,0,42.463,28,20.2,28,20.2,0,26.5,0,33.5,0,42.5,0,0.0
33,1,13,68,0,B,00:25.925,0,00:33.763,0,00:48.689,0,112.3,30:08.6,30:08.6,00:25.9,00:33.8,00:48.7,RR,00:00.00,0.0,AR,245.27729934550464,Location 2,Free Practice 1,0,25.925,0,33.763,0,48.689,30,8.6,30,8.6,0,25.9,0,33.8,0,48.7,0,0.0
33,1,14,102,0,B,03:37.1,0,00:38.749,0,00:54.477,0,39.2,35:18.9,35:18.9,03:37.1,00:38.7,00:54.5,RR,03:02.9,0.0,AR,245.27729934550464,Location 2,Free Practice 1,3,37.1,0,38.749,0,54.477,35,18.9,35,18.9,3,37.1,0,38.7,0,54.5,3,2.9
33,1,15,99,0,Not Available,04:54.0,0,00:39.994,0,00:49.07,0,31.8,41:42.0,41:42.0,04:54.0,00:40.0,00:49.1,RR,04:23.7,0.0,AR,235.0,Location 2,Free Practice 1,4,54.0,0,39.994,0,49.07,41,42.0,41,42.0,4,54.0,0,40.0,0,49.1,4,23.7
33,1,16,129,0,Not Available,00:25.215,0,00:32.632,2,00:45.466,0,117.8,43:25.3,43:25.3,00:25.2,00:32.6,00:45.5,RR,00:00.00,0.0,AR,235.0,Location 2,Free Practice 1,0,25.215,0,32.632,0,45.466,43,25.3,43,25.3,0,25.2,0,32.6,0,45.5,0,0.0
33,1,17,125,2,Not Available,00:25.008,2,00:32.64,0,00:42.842,0,121.1,45:05.8,45:05.8,00:25.0,00:32.6,00:42.8,RR,00:00.00,0.0,AR,250.0,Location 2,Free Practice 1,0,25.008,0,32.64,0,42.842,45,5.8,45,5.8,0,25.0,0,32.6,0,42.8,0,0.0
36,1,1,85,0,Not Available,01:19.0,0,00:40.705,0,00:50.735,0,71.4,02:50.4,02:50.4,01:19.0,00:40.7,00:50.7,ALOTTE,00:34.0,0.0,TAG ,245.27729934550464,Location 2,Free Practice 1,1,19.0,0,40.705,0,50.735,2,50.4,2,50.4,1,19.0,0,40.7,0,50.7,0,34.0
36,1,2,73,0,Not Available,00:28.325,0,00:37.081,0,01:09.7,0,90.1,05:05.5,05:05.5,00:28.3,00:37.1,01:09.7,ALOTTE,00:00.00,0.0,TAG ,245.27729934550464,Location 2,Free Practice 1,0,28.325,0,37.081,1,9.7,5,5.5,5,5.5,0,28.3,0,37.1,1,9.7,0,0.0
36,1,3,83,0,Not Available,00:32.933,0,00:35.73,0,00:46.97,0,105.2,07:01.1,07:01.1,00:32.9,00:35.7,00:47.0,ALOTTE,00:00.00,0.0,TAG ,245.27729934550464,Location 2,Free Practice 1,0,32.933,0,35.73,0,46.97,7,1.1,7,1.1,0,32.9,0,35.7,0,47.0,0,0.0
36,1,4,71,0,Not Available,00:27.313,0,00:35.149,0,00:44.198,0,114.1,08:47.8,08:47.8,00:27.3,00:35.1,00:44.2,ALOTTE,00:00.00,0.0,TAG ,245.27729934550464,Location 2,Free Practice 1,0,27.313,0,35.149,0,44.198,8,47.8,8,47.8,0,27.3,0,35.1,0,44.2,0,0.0
36,1,5,133,0,Not Available,00:26.941,0,00:34.801,0,00:43.523,0,115.6,10:33.1,10:33.1,00:26.9,00:34.8,00:43.5,ALOTTE,00:00.00,0.0,TAG ,245.27729934550464,Location 2,Free Practice 1,0,26.941,0,34.801,0,43.523,10,33.1,10,33.1,0,26.9,0,34.8,0,43.5,0,0.0
36,1,6,87,0,Not Available,00:26.813,0,00:34.938,0,00:43.835,0,115.2,12:18.7,12:18.7,00:26.8,00:34.9,00:43.8,ALOTTE,00:00.00,0.0,TAG ,245.27729934550464,Location 2,Free Practice 1,0,26.813,0,34.938,0,43.835,12,18.7,12,18.7,0,26.8,0,34.9,0,43.8,0,0.0
36,1,7,83,0,Not Available,00:26.741,0,00:34.373,0,00:43.598,0,116.2,14:03.4,14:03.4,00:26.7,00:34.4,00:43.6,ALOTTE,00:00.00,0.0,TAG ,245.27729934550464,Location 2,Free Practice 1,0,26.741,0,34.373,0,43.598,14,3.4,14,3.4,0,26.7,0,34.4,0,43.6,0,0.0
36,1,8,93,0,Not Available,00:37.098,0,00:45.417,0,00:56.521,0,87.5,16:22.4,16:22.4,00:37.1,00:45.4,00:56.5,ALOTTE,00:00.00,0.0,TAG ,245.27729934550464,Location 2,Free Practice 1,0,37.098,0,45.417,0,56.521,16,22.4,16,22.4,0,37.1,0,45.4,0,56.5,0,0.0
36,1,9,83,0,Not Available,00:26.341,0,00:34.034,0,00:42.692,0,118.1,18:05.5,18:05.5,00:26.3,00:34.0,00:42.7,ALOTTE,00:00.00,0.0,TAG ,245.27729934550464,Location 2,Free Practice 1,0,26.341,0,34.034,0,42.692,18,5.5,18,5.5,0,26.3,0,34.0,0,42.7,0,0.0
36,1,10,100,0,Not Available,00:26.066,0,00:34.013,0,00:42.614,0,118.5,19:48.2,19:48.2,00:26.1,00:34.0,00:42.6,ALOTTE,00:00.00,0.0,TAG ,245.27729934550464,Location 2,Free Practice 1,0,26.066,0,34.013,0,42.614,19,48.2,19,48.2,0,26.1,0,34.0,0,42.6,0,0.0
36,1,11,104,0,Not Available,00:37.319,0,00:48.393,0,00:52.475,0,88.1,22:06.4,22:06.4,00:37.3,00:48.4,00:52.5,ALOTTE,00:00.00,0.0,TAG ,245.27729934550464,Location 2,Free Practice 1,0,37.319,0,48.393,0,52.475,22,6.4,22,6.4,0,37.3,0,48.4,0,52.5,0,0.0
36,1,12,80,0,Not Available,00:26.053,0,00:33.739,0,00:42.282,0,119.2,23:48.4,23:48.4,00:26.1,00:33.7,00:42.3,ALOTTE,00:00.00,0.0,TAG ,245.27729934550464,Location 2,Free Practice 1,0,26.053,0,33.739,0,42.282,23,48.4,23,48.4,0,26.1,0,33.7,0,42.3,0,0.0
36,1,13,100,0,Not Available,00:26.015,0,00:37.019,0,00:58.802,0,99.9,25:50.3,25:50.3,00:26.0,00:37.0,00:58.8,ALOTTE,00:00.00,0.0,TAG ,245.27729934550464,Location 2,Free Practice 1,0,26.015,0,37.019,0,58.802,25,50.3,25,50.3,0,26.0,0,37.0,0,58.8,0,0.0
36,1,14,93,0,Not Available,00:25.825,0,00:33.973,0,00:42.334,0,119.1,27:32.4,27:32.4,00:25.8,00:34.0,00:42.3,ALOTTE,00:00.00,0.0,TAG ,245.27729934550464,Location 2,Free Practice 1,0,25.825,0,33.973,0,42.334,27,32.4,27,32.4,0,25.8,0,34.0,0,42.3,0,0.0
36,1,15,87,0,Not Available,00:35.326,0,00:47.088,0,00:50.507,0,91.5,29:45.3,29:45.3,00:35.3,00:47.1,00:50.5,ALOTTE,00:00.00,0.0,TAG ,245.27729934550464,Location 2,Free Practice 1,0,35.326,0,47.088,0,50.507,29,45.3,29,45.3,0,35.3,0,47.1,0,50.5,0,0.0
36,1,16,71,0,Not Available,00:26.063,0,00:33.423,0,00:42.708,0,119.1,31:27.5,31:27.5,00:26.1,00:33.4,00:42.7,ALOTTE,00:00.00,0.0,TAG ,245.27729934550464,Location 2,Free Practice 1,0,26.063,0,33.423,0,42.708,31,27.5,31,27.5,0,26.1,0,33.4,0,42.7,0,0.0
36,1,17,74,0,B,00:28.579,0,00:38.593,0,00:52.629,0,101.6,33:27.3,33:27.3,00:28.6,00:38.6,00:52.6,ALOTTE,00:00.00,0.0,TAG ,245.27729934550464,Location 2,Free Practice 1,0,28.579,0,38.593,0,52.629,33,27.3,33,27.3,0,28.6,0,38.6,0,52.6,0,0.0
36,1,18,87,0,Not Available,06:45.1,0,00:40.061,0,00:45.864,0,24.8,41:38.3,41:38.3,06:45.1,00:40.1,00:45.9,ALOTTE,06:14.6,0.0,TAG ,245.27729934550464,Location 2,Free Practice 1,6,45.1,0,40.061,0,45.864,41,38.3,41,38.3,6,45.1,0,40.1,0,45.9,6,14.6
36,1,19,114,0,Not Available,00:29.597,0,00:35.235,0,00:47.225,0,108.6,43:30.4,43:30.4,00:29.6,00:35.2,00:47.2,ALOTTE,00:00.00,0.0,TAG ,250.0,Location 2,Free Practice 1,0,29.597,0,35.235,0,47.225,43,30.4,43,30.4,0,29.6,0,35.2,0,47.2,0,0.0
36,1,20,79,2,Not Available,00:25.406,2,00:33.24,2,00:41.77,2,121.2,45:10.8,45:10.8,00:25.4,00:33.2,00:41.8,ALOTTE,00:00.00,0.0,TAG ,250.0,Location 2,Free Practice 1,0,25.406,0,33.24,0,41.77,45,10.8,45,10.8,0,25.4,0,33.2,0,41.8,0,0.0
37,1,1,101,0,Not Available,00:56.052,0,00:40.792,0,00:51.143,0,82.2,02:28.0,02:28.0,00:56.1,00:40.8,00:51.1,N,00:22.0,0.0,EA,245.27729934550464,Location 2,Free Practice 1,0,56.052,0,40.792,0,51.143,2,28.0,2,28.0,0,56.1,0,40.8,0,51.1,0,22.0
37,1,2,144,0,Not Available,00:26.953,0,00:35.627,0,00:52.193,0,106.0,04:22.8,04:22.8,00:27.0,00:35.6,00:52.2,N,00:00.00,0.0,EA,245.27729934550464,Location 2,Free Practice 1,0,26.953,0,35.627,0,52.193,4,22.8,4,22.8,0,27.0,0,35.6,0,52.2,0,0.0
37,1,3,86,0,Not Available,00:58.186,0,00:35.381,0,00:44.084,0,88.4,06:40.4,06:40.4,00:58.2,00:35.4,00:44.1,N,00:00.00,0.0,EA,245.27729934550464,Location 2,Free Practice 1,0,58.186,0,35.381,0,44.084,6,40.4,6,40.4,0,58.2,0,35.4,0,44.1,0,0.0
37,1,4,93,0,Not Available,00:27.522,0,00:35.247,0,00:44.611,0,113.3,08:27.8,08:27.8,00:27.5,00:35.2,00:44.6,N,00:00.00,0.0,EA,245.27729934550464,Location 2,Free Practice 1,0,27.522,0,35.247,0,44.611,8,27.8,8,27.8,0,27.5,0,35.2,0,44.6,0,0.0
37,1,5,137,0,Not Available,00:27.067,0,00:35.148,0,00:44.142,0,114.4,10:14.1,10:14.1,00:27.1,00:35.1,00:44.1,N,00:00.00,0.0,EA,245.27729934550464,Location 2,Free Practice 1,0,27.067,0,35.148,0,44.142,10,14.1,10,14.1,0,27.1,0,35.1,0,44.1,0,0.0
37,1,6,97,0,Not Available,00:26.78,0,00:34.862,0,00:43.86,0,115.3,11:59.7,11:59.7,00:26.8,00:34.9,00:43.9,N,00:00.00,0.0,EA,245.27729934550464,Location 2,Free Practice 1,0,26.78,0,34.862,0,43.86,11,59.7,11,59.7,0,26.8,0,34.9,0,43.9,0,0.0
37,1,7,89,0,Not Available,00:26.686,0,00:34.698,0,00:43.739,0,115.8,13:44.8,13:44.8,00:26.7,00:34.7,00:43.7,N,00:00.00,0.0,EA,245.27729934550464,Location 2,Free Practice 1,0,26.686,0,34.698,0,43.739,13,44.8,13,44.8,0,26.7,0,34.7,0,43.7,0,0.0
37,1,8,89,0,Not Available,00:26.875,0,00:51.714,0,01:03.7,0,85.5,16:07.0,16:07.0,00:26.9,00:51.7,01:03.7,N,00:00.00,0.0,EA,245.27729934550464,Location 2,Free Practice 1,0,26.875,0,51.714,1,3.7,16,7.0,16,7.0,0,26.9,0,51.7,1,3.7,0,0.0
37,1,9,143,0,Not Available,00:26.094,0,00:34.268,0,00:42.553,0,118.2,17:49.9,17:49.9,00:26.1,00:34.3,00:42.6,N,00:00.00,0.0,EA,245.27729934550464,Location 2,Free Practice 1,0,26.094,0,34.268,0,42.553,17,49.9,17,49.9,0,26.1,0,34.3,0,42.6,0,0.0
37,1,10,83,0,B,00:26.129,0,00:34,0,00:49.109,0,111.4,19:39.2,19:39.2,00:26.1,00:34.0,00:49.1,N,00:00.00,0.0,EA,245.27729934550464,Location 2,Free Practice 1,0,26.129,0,34.0,0,49.109,19,39.2,19,39.2,0,26.1,0,34.0,0,49.1,0,0.0
37,1,11,90,0,Not Available,07:09.1,0,00:38.338,0,00:48.003,0,23.6,28:14.6,28:14.6,07:09.1,00:38.3,00:48.0,N,06:33.7,0.0,EA,245.27729934550464,Location 2,Free Practice 1,7,9.1,0,38.338,0,48.003,28,14.6,28,14.6,7,9.1,0,38.3,0,48.0,6,33.7
37,1,12,127,0,Not Available,00:26.999,0,00:35.991,0,00:45.535,0,112.1,30:03.1,30:03.1,00:27.0,00:36.0,00:45.5,N,00:00.00,0.0,EA,245.27729934550464,Location 2,Free Practice 1,0,26.999,0,35.991,0,45.535,30,3.1,30,3.1,0,27.0,0,36.0,0,45.5,0,0.0
37,1,13,191,0,Not Available,00:25.725,0,00:33.554,0,00:42.324,0,119.8,31:44.7,31:44.7,00:25.7,00:33.6,00:42.3,N,00:00.00,0.0,EA,245.27729934550464,Location 2,Free Practice 1,0,25.725,0,33.554,0,42.324,31,44.7,31,44.7,0,25.7,0,33.6,0,42.3,0,0.0
37,1,14,97,0,Not Available,00:42.242,0,00:40.303,0,00:50.564,0,91.4,33:57.8,33:57.8,00:42.2,00:40.3,00:50.6,N,00:00.00,0.0,EA,235.0,Location 2,Free Practice 1,0,42.242,0,40.303,0,50.564,33,57.8,33,57.8,0,42.2,0,40.3,0,50.6,0,0.0
37,1,15,116,0,B,00:25.257,0,00:33.649,0,01:15.4,0,90.6,36:12.1,36:12.1,00:25.3,00:33.6,01:15.4,N,00:00.00,0.0,EA,250.0,Location 2,Free Practice 1,0,25.257,0,33.649,1,15.4,36,12.1,36,12.1,0,25.3,0,33.6,1,15.4,0,0.0
37,1,16,163,0,Not Available,05:19.7,0,00:36.974,0,00:47.98,0,30.1,42:56.8,42:56.8,05:19.7,00:37.0,00:48.0,N,04:50.7,0.0,EA,250.0,Location 2,Free Practice 1,5,19.7,0,36.974,0,47.98,42,56.8,42,56.8,5,19.7,0,37.0,0,48.0,4,50.7
37,1,17,111,2,Not Available,00:24.865,2,00:32.641,2,00:41.634,2,122.7,44:35.9,44:35.9,00:24.9,00:32.6,00:41.6,N,00:00.00,0.0,EA,250.0,Location 2,Free Practice 1,0,24.865,0,32.641,0,41.634,44,35.9,44,35.9,0,24.9,0,32.6,0,41.6,0,0.0
